DEPARTAMENTO,Autoridades2010,Autoridades2014,Autoridades2018,Electas2010,Electas2014,Electas2018,Tasa2010a,Tasa2014a,Tasa2018a,Tasa2010b,Tasa2014b,Tasa2018b
AMAZONAS,92,92,92,,,0,,,0,,,
ANCASH,187,187,187,0,1,0,0,0.53,0,0,0.53,0
APURIMAC,88,88,92,6,6,0,6.82,6.82,0,6.82,6.82,0
AREQUIPA,118,118,118,1,2,0,0.85,1.69,0,0.85,1.69,0
AYACUCHO,123,127,131,,6,,,4.72,,,,
CAJAMARCA,141,141,141,15,7,2,10.64,4.96,1.42,10.64,4.96,1.42
CUSCO,122,122,126,0,0,1,0,0,0.79,0,0,0.79
HUANCAVELICA,102,103,108,,,,,,,,,
HUANUCO,88,89,96,0,1,0,0,1.12,0,0,1.12,0
ICA,49,49,49,6,7,1,12.24,14.29,2.04,12.24,14.29,2.04
JUNIN,133,133,134,21,13,8,15.79,9.77,5.97,15.79,9.77,5.97
LA LIBERTAD,95,96,96,1,6,11,1.05,6.25,11.46,1.05,6.25,11.46
LAMBAYEQUE,42,42,42,1,3,3,2.38,7.14,7.14,2.38,7.14,7.14
LIMA,190,190,191,10,8,18,5.26,4.21,9.42,5.26,4.21,9.42
LORETO,59,59,62,,,1,,,1.61,,,
MADRE DE DIOS,15,15,15,,,0,,,0,,,
MOQUEGUA,24,24,24,,,0,,,0,,,
PASCO,32,33,33,1,8,,3.13,24.24,,,,
PIURA,73,74,74,1,0,0,1.37,0,0,1.37,0,0
PUNO,123,123,124,,0,,,0,,,,
SAN MARTIN,88,88,88,8,18,3,9.09,20.45,3.41,9.09,20.45,3.41
TACNA,32,32,33,,,,,,,,,
TUMBES,17,17,17,1,0,0,5.88,0,0,5.88,0,0
UCAYALI,20,20,22,0,0,1,0,0,4.55,0,0,4.55
